date,COT,AXP,V,TRP,JBLU,FL,AMGN,GGG
2014-06-27,6.3508,88.5845,50.8274,39.4372,10.88,46.1084,106.8616,24.2082
2014-06-30,6.4791,88.5285,51.1747,39.5615,10.85,46.1995,106.6633,24.3078
2014-07-01,6.4974,88.9765,52.0344,39.6776,10.98,47.001,108.4115,24.5787
2014-07-02,6.5524,88.8458,52.1777,39.7937,10.75,46.828,109.0603,24.5071
2014-07-03,6.5524,89.4337,52.5833,39.7439,10.89,47.1286,110.7003,24.6285
2014-07-07,6.5432,89.0231,52.6392,39.5201,10.62,46.5001,108.2763,24.6036
2014-07-08,6.5157,88.2486,52.2797,39.8102,10.49,46.1904,108.0961,24.4573
2014-07-09,6.5157,88.6509,52.4983,40.3823,10.66,46.2177,107.7446,24.2705
2014-07-10,6.4699,88.3889,52.3477,40.9543,10.73,46.0993,107.186,23.9405
2014-07-11,6.4608,88.3983,52.7023,40.83,10.82,45.5254,107.9249,23.7537
2014-07-14,6.4241,88.4638,53.6811,41.0206,10.71,45.3341,107.213,23.8471
2014-07-15,6.3874,88.3796,53.8632,41.1781,10.82,45.1246,105.3027,23.6105
2014-07-16,6.3874,88.3983,54.0794,42.115,10.87,44.0999,106.0686,23.5264
2014-07-17,6.3233,87.0134,52.916,42.0652,10.63,43.1209,103.978,23.1218
2014-07-18,6.3325,87.5187,53.4795,42.0321,10.83,44.5299,106.6003,23.5624
2014-07-21,6.2866,86.9105,53.2415,41.9574,10.71,44.3561,107.2581,23.4124
2014-07-22,6.305,87.369,53.7369,42.3554,10.78,43.981,109.1323,23.5436
2014-07-23,6.2775,87.2848,53.7224,42.9689,11.28,44.3469,109.9433,23.4593
2014-07-24,6.3508,87.1631,54.0964,43.2756,11.0601,45.3168,110.1686,23.9123
2014-07-25,6.2408,86.0215,52.1607,42.8362,11.41,44.3103,110.6912,24.0186
2014-07-28,6.1858,85.956,52.0271,42.8196,11.17,44.3561,110.52,24.1217
2014-07-29,6.1217,85.8157,51.8523,42.6704,11.06,44.3835,111.1148,24.1373
2014-07-30,6.0759,85.0671,51.9883,41.8331,11.08,44.6123,117.1521,23.9092
2014-07-31,6.2958,82.3441,51.2475,41.5927,10.72,43.4869,114.7913,23.1687
2014-08-01,6.36,81.3429,51.4418,40.9543,10.81,44.0267,113.1332,22.9906
2014-08-04,6.6899,81.3429,51.5268,41.4849,10.86,44.5848,115.9266,23.1624
2014-08-05,6.6624,80.8095,51.1334,40.888,10.78,44.3469,115.2328,23.0406
2014-08-06,6.7265,80.847,51.1698,40.9958,10.92,44.8593,114.5209,23.1093
2014-08-07,6.7265,80.4914,50.7691,40.8797,11.13,44.1457,113.3135,22.9843
2014-08-08,6.699,81.8482,51.114,40.7056,11.46,45.9298,114.3948,23.2812
2014-08-11,6.7082,81.3616,51.1431,41.0455,11.74,45.5364,114.7282,23.3905
2014-08-12,6.7174,81.4833,51.0751,41.2445,11.62,46.0121,114.3751,23.2937
2014-08-13,6.6715,81.7827,51.4474,41.8165,11.88,45.9298,115.2986,23.4936
2014-08-14,6.754,81.661,51.7126,42.0486,11.8,46.3964,119.3912,23.6655
2014-08-15,6.8731,81.0341,51.1457,42.3056,11.91,45.573,120.2423,23.5093
2014-08-18,6.7815,81.5581,52.1506,42.3968,12.28,46.3873,120.6226,23.9029
2014-08-19,6.9648,82.4564,52.3161,42.8445,12.33,47.5401,120.4415,24.0186
2014-08-20,6.9281,82.8026,52.6081,43.0601,12.73,47.9701,120.1336,24.1435
2014-08-21,6.9098,83.4109,52.4986,42.8031,12.47,48.0982,119.9978,24.181
2014-08-22,6.7357,83.1676,52.5813,42.3885,12.6,49.5163,120.2604,24.0654
2014-08-25,6.7357,83.8319,52.5643,43.3585,12.61,49.9372,122.0441,24.2373
2014-08-26,6.7542,83.4202,52.737,43.6404,12.44,50.66,124.2896,24.1998
2014-08-27,6.7357,83.5044,52.8344,44.6684,12.38,51.5475,124.7967,24.2217
2014-08-28,6.9205,83.2986,52.2188,44.6518,12.41,51.2273,125.5753,24.0092
2014-08-29,6.9297,83.7945,51.7126,44.5855,12.23,51.3371,126.2001,24.0154
2014-09-02,6.939,83.9536,52.2504,44.8674,12.64,52.3801,124.9144,24.2748
2014-09-03,7.0036,84.3466,52.2918,45.5306,12.36,52.2611,125.4757,24.2498
2014-09-04,7.0775,83.8881,52.136,45.514,12.525,52.4533,124.9596,24.0904
2014-09-05,6.9944,83.8506,52.1239,46.0031,12.54,52.3252,124.8419,24.1217
2014-09-08,6.939,83.2143,52.5034,45.6549,12.47,52.3343,126.1005,24.106
2014-09-09,7.0221,82.2505,52.1409,46.086,12.04,51.6847,124.3983,23.8217
2014-09-10,7.0129,82.7278,52.7735,45.4643,12.29,51.9592,126.028,23.9154
2014-09-11,7.0221,82.7371,52.3039,45.0332,12.24,52.2886,125.8198,24.0686
2014-09-12,6.8835,82.0073,52.0825,44.5026,12.19,52.2428,124.851,23.8748
2014-09-15,6.8743,81.764,52.2285,44.1295,11.26,52.2703,124.9234,23.7186
2014-09-16,6.8835,82.681,52.8757,44.4611,11.415,53.048,126.1548,23.553
2014-09-17,6.902,83.3453,52.445,44.3616,11.2,52.435,127.4043,23.478
2014-09-18,6.8835,84.3092,52.6665,46.028,11.33,52.499,128.5904,23.5186
2014-09-19,6.8004,83.9349,52.6202,46.5835,11.36,51.9867,130.3923,23.4093
2014-09-22,6.7357,83.2705,52.0436,45.6135,10.9,51.8037,128.7353,23.1718
2014-09-23,6.6525,82.6342,51.698,44.6352,10.765,51.456,127.3772,23.1156
2014-09-24,6.5601,82.8307,52.1725,44.428,10.645,52.1148,128.7896,23.1593
2014-09-25,6.5324,81.1838,51.2722,43.2507,10.4,51.2913,126.6256,22.75
2014-09-26,6.5786,82.6903,51.5715,43.53,10.58,52.1148,127.7212,22.7656
2014-09-29,6.4308,82.2973,51.3257,43.4464,10.53,51.7488,126.8248,22.8906
2014-09-30,6.3476,81.9137,51.9195,43.0785,10.62,50.9162,127.178,22.8031
2014-10-01,6.3291,80.5341,51.1019,42.6104,10.245,50.1568,125.693,22.2782
2014-10-02,6.3384,80.5904,51.0313,42.4599,10.585,50.2666,124.2262,22.3157
2014-10-03,6.3846,81.8011,51.5837,42.1589,11.125,51.392,125.9918,22.425
2014-10-06,6.3384,81.6791,51.535,42.811,10.85,51.0077,124.5975,22.4656
2014-10-07,6.209,80.1023,50.6249,42.4014,10.65,50.3123,123.1669,21.8939
2014-10-08,6.2552,82.0357,51.6737,42.0419,10.82,50.8704,126.8248,22.1594
2014-10-09,6.1351,80.6091,50.5422,39.9352,10.68,50.413,124.5703,21.3908
2014-10-10,6.1166,79.7645,49.8779,39.8934,10.06,50.4587,124.3983,21.2627
2014-10-13,6.1813,77.6904,49.7076,38.514,9.41,49.2693,120.9304,21.1971
2014-10-14,5.9873,77.6528,49.328,37.3687,10.23,49.3059,119.699,21.872
2014-10-15,5.978,75.9541,48.727,37.8285,10.295,48.9568,118.522,22.1532
2014-10-16,5.9688,75.3065,49.3961,38.932,11.22,48.3964,118.1145,22.757
2014-10-17,5.9134,77.5027,50.1261,39.0909,10.86,49.1221,121.0481,22.7539
2014-10-20,6.0058,78.8447,50.5763,39.6593,11.23,49.949,124.5069,22.9954
2014-10-21,6.052,80.3745,51.9049,40.4535,11.56,50.8952,130.4647,23.5914
2014-10-22,5.9873,78.7978,51.3233,39.6928,11.18,50.2429,130.0573,23.0362
2014-10-23,5.9596,80.3464,52.1409,40.069,10.86,50.6564,133.3259,23.9239
2014-10-24,5.9965,81.0878,51.9462,40.4619,10.96,50.2521,133.3349,23.8204
2014-10-27,6.0058,81.3036,51.9292,40.3699,11.08,50.5737,134.1861,23.7451
2014-10-28,6.015,82.5988,52.7322,41.3397,11.38,50.9503,142.326,24.5857
