date,risk_free
2014-06-27,3.2957201119288015e-06
2014-06-30,3.844815711362415e-06
2014-07-01,3.2957201119288015e-06
2014-07-02,3.2957201119288015e-06
2014-07-03,3.2957201119288015e-06
2014-07-07,3.2957201119288015e-06
2014-07-08,3.2957201119288015e-06
2014-07-09,3.2957201119288015e-06
2014-07-10,3.2957201119288015e-06
2014-07-11,3.844815711362415e-06
2014-07-14,3.2957201119288015e-06
2014-07-15,3.2957201119288015e-06
2014-07-16,3.2957201119288015e-06
2014-07-17,3.2957201119288015e-06
2014-07-18,2.746569934819476e-06
2014-07-21,3.2957201119288015e-06
2014-07-22,3.844815711362415e-06
2014-07-23,2.746569934819476e-06
2014-07-24,3.2957201119288015e-06
2014-07-25,3.2957201119288015e-06
2014-07-28,3.2957201119288015e-06
2014-07-29,3.2957201119288015e-06
2014-07-30,3.2957201119288015e-06
2014-07-31,2.746569934819476e-06
2014-08-01,2.746569934819476e-06
2014-08-04,3.2957201119288015e-06
2014-08-05,2.746569934819476e-06
2014-08-06,2.746569934819476e-06
2014-08-07,2.1973651687101636e-06
2014-08-08,2.746569934819476e-06
2014-08-11,2.746569934819476e-06
2014-08-12,2.746569934819476e-06
2014-08-13,3.2957201119288015e-06
2014-08-14,3.2957201119288015e-06
2014-08-15,2.746569934819476e-06
2014-08-18,2.746569934819476e-06
2014-08-19,2.746569934819476e-06
2014-08-20,3.2957201119288015e-06
2014-08-21,3.2957201119288015e-06
2014-08-22,3.2957201119288015e-06
2014-08-25,2.746569934819476e-06
2014-08-26,2.746569934819476e-06
2014-08-27,2.746569934819476e-06
2014-08-28,2.746569934819476e-06
2014-08-29,2.746569934819476e-06
2014-09-02,2.746569934819476e-06
2014-09-03,2.746569934819476e-06
2014-09-04,2.746569934819476e-06
2014-09-05,2.746569934819476e-06
2014-09-08,2.746569934819476e-06
2014-09-09,2.746569934819476e-06
2014-09-10,2.746569934819476e-06
2014-09-11,2.746569934819476e-06
2014-09-12,2.746569934819476e-06
2014-09-15,2.746569934819476e-06
2014-09-16,2.1973651687101636e-06
2014-09-17,2.746569934819476e-06
2014-09-18,2.1973651687101636e-06
2014-09-19,2.1973651687101636e-06
2014-09-22,2.1973651687101636e-06
2014-09-23,2.1973651687101636e-06
2014-09-24,1.6481058031647677e-06
2014-09-25,1.6481058031647677e-06
2014-09-26,1.6481058031647677e-06
2014-09-29,2.746569934819476e-06
2014-09-30,1.6481058031647677e-06
2014-10-01,2.1973651687101636e-06
2014-10-02,1.6481058031647677e-06
2014-10-03,1.6481058031647677e-06
2014-10-06,2.746569934819476e-06
2014-10-07,2.1973651687101636e-06
2014-10-08,2.746569934819476e-06
2014-10-09,2.746569934819476e-06
2014-10-10,2.1973651687101636e-06
2014-10-13,2.1973651687101636e-06
2014-10-14,2.1973651687101636e-06
2014-10-15,2.746569934819476e-06
2014-10-16,2.746569934819476e-06
2014-10-17,2.746569934819476e-06
2014-10-20,3.2957201119288015e-06
2014-10-21,3.2957201119288015e-06
2014-10-22,3.2957201119288015e-06
2014-10-23,3.2957201119288015e-06
2014-10-24,3.2957201119288015e-06
2014-10-27,3.2957201119288015e-06
2014-10-28,2.746569934819476e-06
2014-10-29,3.844815711362415e-06
2014-10-30,3.2957201119288015e-06
2014-10-31,2.746569934819476e-06
2014-11-03,3.844815711362415e-06
2014-11-04,3.2957201119288015e-06
2014-11-05,3.844815711362415e-06
2014-11-06,3.2957201119288015e-06
2014-11-07,3.2957201119288015e-06
2014-11-10,3.844815711362415e-06
2014-11-11,3.844815711362415e-06
2014-11-12,3.844815711362415e-06
2014-11-13,4.393856744000502e-06
2014-11-14,3.844815711362415e-06
2014-11-17,3.844815711362415e-06
2014-11-18,3.844815711362415e-06
2014-11-19,3.844815711362415e-06
2014-11-20,3.844815711362415e-06
2014-11-21,3.844815711362415e-06
2014-11-24,4.393856744000502e-06
2014-11-25,3.844815711362415e-06
2014-11-26,3.844815711362415e-06
2014-11-28,3.844815711362415e-06
2014-12-01,4.393856744000502e-06
2014-12-02,4.393856744000502e-06
2014-12-03,3.844815711362415e-06
2014-12-04,4.393856744000502e-06
2014-12-05,4.393856744000502e-06
2014-12-08,5.49177515152266e-06
2014-12-09,6.040652548611192e-06
2014-12-10,5.49177515152266e-06
2014-12-11,4.942843220501203e-06
2014-12-12,4.942843220501203e-06
2014-12-15,6.040652548611192e-06
2014-12-16,6.040652548611192e-06
2014-12-17,6.040652548611192e-06
2014-12-18,6.5894754219808505e-06
2014-12-19,6.040652548611192e-06
2014-12-22,8.784221898094913e-06
2014-12-23,7.686957641750425e-06
2014-12-24,7.686957641750425e-06
2014-12-26,5.49177515152266e-06
2014-12-29,6.5894754219808505e-06
2014-12-30,6.5894754219808505e-06
2014-12-31,6.5894754219808505e-06
2015-01-02,6.040652548611192e-06
2015-01-05,5.49177515152266e-06
2015-01-06,5.49177515152266e-06
2015-01-07,4.942843220501203e-06
2015-01-08,4.393856744000502e-06
2015-01-09,4.393856744000502e-06
2015-01-12,4.942843220501203e-06
2015-01-13,4.393856744000502e-06
2015-01-14,4.942843220501203e-06
2015-01-15,4.393856744000502e-06
2015-01-16,3.844815711362415e-06
2015-01-20,4.393856744000502e-06
2015-01-21,4.393856744000502e-06
2015-01-22,4.393856744000502e-06
2015-01-23,3.844815711362415e-06
2015-01-26,4.393856744000502e-06
2015-01-27,4.393856744000502e-06
2015-01-28,4.393856744000502e-06
2015-01-29,3.844815711362415e-06
2015-01-30,3.844815711362415e-06
2015-02-02,3.844815711362415e-06
2015-02-03,3.844815711362415e-06
2015-02-04,3.2957201119288015e-06
2015-02-05,3.2957201119288015e-06
2015-02-06,3.844815711362415e-06
2015-02-09,4.393856744000502e-06
2015-02-10,4.393856744000502e-06
2015-02-11,3.844815711362415e-06
2015-02-12,3.844815711362415e-06
