date,SPY
2014-06-27,178.9915
2014-06-30,178.9001
2014-07-01,180.0975
2014-07-02,180.2803
2014-07-03,181.167
2014-07-07,180.5363
2014-07-08,179.3754
2014-07-09,180.1798
2014-07-10,179.4668
2014-07-11,179.7136
2014-07-14,180.6185
2014-07-15,180.2803
2014-07-16,180.9476
2014-07-17,178.891
2014-07-18,180.719
2014-07-21,180.3809
2014-07-22,181.167
2014-07-23,181.5692
2014-07-24,181.5783
2014-07-25,180.7282
2014-07-28,180.8014
2014-07-29,180.0244
2014-07-30,180.0518
2014-07-31,176.4961
2014-08-01,175.9568
2014-08-04,177.2274
2014-08-05,175.5089
2014-08-06,175.5638
2014-08-07,174.6132
2014-08-08,176.6332
2014-08-11,177.1405
2014-08-12,176.8983
2014-08-13,178.0957
2014-08-14,178.9367
2014-08-15,178.9001
2014-08-18,180.3992
2014-08-19,181.3407
2014-08-20,181.8251
2014-08-21,182.3553
2014-08-22,182.0719
2014-08-25,182.9951
2014-08-26,183.1139
2014-08-27,183.0408
2014-08-28,182.9403
2014-08-29,183.4613
2014-09-02,183.3699
2014-09-03,183.2693
2014-09-04,183.0043
2014-09-05,183.8269
2014-09-08,183.3516
2014-09-09,182.1907
2014-09-10,182.8763
2014-09-11,183.0865
2014-09-12,182.0171
2014-09-15,181.8809
2014-09-16,183.251
2014-09-17,183.4978
2014-09-18,184.4759
2014-09-19,184.3099
2014-09-22,182.8865
2014-09-23,181.8396
2014-09-24,183.263
2014-09-25,180.306
2014-09-26,181.7386
2014-09-29,181.408
2014-09-30,180.9304
2014-10-01,178.4785
2014-10-02,178.506
2014-10-03,180.4713
2014-10-06,180.2601
2014-10-07,177.4775
2014-10-08,180.5815
2014-10-09,177.0
2014-10-10,174.9796
2014-10-13,172.1052
2014-10-14,172.3716
2014-10-15,171.2053
2014-10-16,171.0583
2014-10-17,173.0787
2014-10-20,174.7592
2014-10-21,178.2214
2014-10-22,176.9541
2014-10-23,179.0111
2014-10-24,180.3886
2014-10-27,180.1407
2014-10-28,182.2069
2014-10-29,181.9314
2014-10-30,183.0977
2014-10-31,185.1915
2014-11-03,185.2925
2014-11-04,184.6497
2014-11-05,185.816
2014-11-06,186.5598
2014-11-07,186.7343
2014-11-10,187.3221
2014-11-11,187.5011
2014-11-12,187.3037
2014-11-13,187.5149
2014-11-14,187.5608
2014-11-17,187.6802
2014-11-18,188.7638
2014-11-19,188.4608
2014-11-20,188.7914
2014-11-21,189.8016
2014-11-24,190.3342
2014-11-25,190.1964
2014-11-26,190.6832
2014-11-28,190.2791
2014-12-01,188.9567
2014-12-02,190.1735
2014-12-03,190.9127
2014-12-04,190.7015
2014-12-05,191.0138
2014-12-08,189.7373
2014-12-09,189.6087
2014-12-10,186.5691
2014-12-11,187.5149
2014-12-12,184.4844
2014-12-15,183.2171
2014-12-16,181.7478
2014-12-17,185.3109
2014-12-18,189.8934
2014-12-19,190.7014
2014-12-22,191.5786
2014-12-23,191.8372
2014-12-24,191.8556
2014-12-26,192.4743
2014-12-29,192.7329
2014-12-30,191.6987
2014-12-31,189.7965
2015-01-02,189.6949
2015-01-05,186.2691
2015-01-06,184.5146
2015-01-07,186.8139
2015-01-08,190.1289
2015-01-09,188.6053
2015-01-12,187.1278
2015-01-13,186.6015
2015-01-14,185.4749
2015-01-15,183.7758
2015-01-16,186.1859
2015-01-20,186.5784
2015-01-21,187.5249
2015-01-22,190.3136
2015-01-23,189.2701
2015-01-26,189.7133
2015-01-27,187.2109
2015-01-28,184.8101
2015-01-29,186.5186
2015-01-30,184.1729
2015-02-02,186.4537
2015-02-03,189.1501
2015-02-04,188.4298
2015-02-05,190.332
2015-02-06,189.8057
2015-02-09,188.9562
2015-02-10,190.9692
2015-02-11,191.08
2015-02-12,192.9176
2015-02-13,193.7117
2015-02-17,194.0164
2015-02-18,194.0349
2015-02-19,193.8964
2015-02-20,195.0589
2015-02-23,195.0312
2015-02-24,195.5862
2015-02-25,195.42
2015-02-26,195.1891
2015-02-27,194.5243
2015-03-02,195.7524
2015-03-03,194.949
2015-03-04,194.1273
2015-03-05,194.3396
2015-03-06,191.6063
2015-03-09,192.4005
2015-03-10,189.2794
2015-03-11,188.8361
2015-03-12,191.237
2015-03-13,190.0617
2015-03-16,192.6036
2015-03-17,192.0311
2015-03-18,194.3396
2015-03-19,193.4531
2015-03-20,195.1605
2015-03-23,194.7802
2015-03-24,193.6858
2015-03-25,190.8475
2015-03-26,190.3931
2015-03-27,190.829
2015-03-30,193.1571
2015-03-31,191.469
2015-04-01,190.7919
2015-04-02,191.4736
2015-04-06,192.7675
2015-04-07,192.2574
2015-04-08,192.902
2015-04-09,193.76
2015-04-10,194.8173
2015-04-13,193.9362
2015-04-14,194.3072
2015-04-15,195.1791
2015-04-16,195.1234
2015-04-17,192.8788
2015-04-20,194.6411
2015-04-21,194.4092
2015-04-22,195.3646
2015-04-23,195.8562
2015-04-24,196.3106
2015-04-27,195.4944
2015-04-28,196.1159
2015-04-29,195.3089
2015-04-30,193.3519
2015-05-01,195.4481
2015-05-04,196.0046
2015-05-05,193.76
2015-05-06,192.9623
2015-05-07,193.7321
2015-05-08,196.2828
2015-05-11,195.3414
2015-05-12,194.7617
2015-05-13,194.7988
2015-05-14,196.8301
2015-05-15,197.0434
2015-05-18,197.6556
2015-05-19,197.5906
2015-05-20,197.4515
2015-05-21,198.0266
2015-05-22,197.5535
2015-05-26,195.4295
2015-05-27,197.2846
2015-05-28,197.062
2015-05-29,195.8376
2015-06-01,196.2365
2015-06-02,196.0417
2015-06-03,196.5611
2015-06-04,194.9001
2015-06-05,194.5669
2015-06-08,193.3704
2015-06-09,193.3426
2015-06-10,195.6614
2015-06-11,196.2921
2015-06-12,194.7895
2015-06-15,193.9547
2015-06-16,195.0121
2015-06-17,195.3275
2015-06-18,197.3588
2015-06-19,196.4827
2015-06-22,197.4893
2015-06-23,197.6291
2015-06-24,196.1938
2015-06-25,195.5973
2015-06-26,195.56
2015-06-29,191.459
2015-06-30,191.8598
2015-07-01,193.3977
2015-07-02,193.2206
2015-07-06,192.6707
2015-07-07,193.8823
2015-07-08,190.6295
2015-07-09,190.9744
2015-07-10,193.379
2015-07-13,195.5134
2015-07-14,196.3615
2015-07-15,196.2963
2015-07-16,197.8715
2015-07-17,198.0392
2015-07-20,198.1417
2015-07-21,197.3588
2015-07-22,197.0047
2015-07-23,195.8955
2015-07-24,193.8637
2015-07-27,192.7359
2015-07-28,195.1033
2015-07-29,196.4454
2015-07-30,196.492
2015-07-31,196.1938
2015-08-03,195.532
2015-08-04,195.1499
2015-08-05,195.793
2015-08-06,194.1899
2015-08-07,193.8171
2015-08-10,196.259
2015-08-11,194.4882
2015-08-12,194.7212
2015-08-13,194.4788
2015-08-14,195.1872
2015-08-17,196.2777
2015-08-18,195.7091
2015-08-19,194.1619
2015-08-20,190.1076
2015-08-21,184.1985
2015-08-24,176.6676
2015-08-25,174.5426
2015-08-26,181.2439
2015-08-27,185.727
2015-08-28,185.7363
2015-08-31,184.2357
2015-09-01,178.7367
2015-09-02,182.1293
2015-09-03,182.2598
2015-09-04,179.501
2015-09-08,184.0121
2015-09-09,181.5515
2015-09-10,182.5394
2015-09-11,183.369
2015-09-14,182.6886
2015-09-15,184.9721
2015-09-16,186.5752
2015-09-17,186.1557
2015-09-18,183.1141
2015-09-21,184.0603
2015-09-22,181.6713
2015-09-23,181.3808
2015-09-24,180.725
2015-09-25,180.6782
2015-09-28,176.1436
2015-09-29,176.2467
2015-09-30,179.5352
2015-10-01,180.0036
2015-10-02,182.6925
2015-10-05,185.9434
2015-10-06,185.3064
2015-10-07,186.8241
2015-10-08,188.5105
2015-10-09,188.6229
2015-10-12,188.8009
2015-10-13,187.6111
2015-10-14,186.7117
2015-10-15,189.5786
2015-10-16,190.4405
2015-10-19,190.5342
2015-10-20,190.2719
2015-10-21,189.1101
2015-10-22,192.3049
2015-10-23,194.4129
2015-10-26,193.9351
2015-10-27,193.5603
2015-10-28,195.762
2015-10-29,195.6496
2015-10-30,194.8064
2015-11-02,197.1111
2015-11-03,197.6826
2015-11-04,197.083
2015-11-05,196.8863
2015-11-06,196.7832
2015-11-09,194.9469
2015-11-10,195.3966
2015-11-11,194.6284
2015-11-12,191.9114
2015-11-13,189.7566
2015-11-16,192.6422
2015-11-17,192.5016
2015-11-18,195.5559
2015-11-19,195.3872
2015-11-20,196.1
2015-11-23,195.8744
2015-11-24,196.1368
2015-11-25,196.1086
2015-11-27,196.3335
2015-11-30,195.5184
2015-12-01,197.3828
2015-12-02,195.3676
2015-12-03,192.6328
2015-12-04,196.3897
2015-12-07,195.1999
2015-12-08,193.8873
2015-12-09,192.3798
2015-12-10,192.8764
2015-12-11,189.1382
2015-12-14,190.0946
