date,JBLU,TRP,AXP,V,COT,GGG,AMGN,FL
2014-06-27,10.88,38.8854,88.2235,50.7363,6.325,24.2082,106.1206,46.1084
2014-06-30,10.85,39.008,88.1677,51.083,6.4527,24.3078,105.9237,46.1995
2014-07-01,10.98,39.1224,88.6138,51.9412,6.471,24.5787,107.6597,47.001
2014-07-02,10.75,39.2369,88.4837,52.0842,6.5257,24.5071,108.304,46.828
2014-07-03,10.89,39.1878,89.0692,52.4891,6.5257,24.6285,109.9327,47.1286
2014-07-07,10.62,38.9671,88.6603,52.5448,6.5166,24.6036,107.5255,46.5001
2014-07-08,10.49,39.2532,87.8889,52.186,6.4892,24.4573,107.3465,46.1904
2014-07-09,10.66,39.8172,88.2896,52.4042,6.4892,24.2705,106.9975,46.2177
2014-07-10,10.73,40.3813,88.0287,52.2539,6.4436,23.9405,106.4427,46.0993
2014-07-11,10.82,40.2587,88.038,52.6079,6.4345,23.7537,107.1765,45.5254
2014-07-14,10.71,40.4467,88.1032,53.5849,6.398,23.8471,106.4696,45.3341
2014-07-15,10.82,40.602,88.0193,53.7667,6.3615,23.6105,104.5725,45.1246
2014-07-16,10.87,41.5257,88.038,53.9825,6.3615,23.5264,105.3331,44.0999
2014-07-17,10.63,41.4766,86.6587,52.8212,6.2976,23.1218,103.2571,43.1209
2014-07-18,10.83,41.4439,87.162,53.3837,6.3067,23.5624,105.8611,44.5299
2014-07-21,10.71,41.3704,86.5562,53.1461,6.2611,23.4124,106.5143,44.3561
2014-07-22,10.78,41.7627,87.0129,53.6406,6.2793,23.5436,108.3756,43.981
2014-07-23,11.28,42.3676,86.929,53.6261,6.2519,23.4593,109.181,44.3469
2014-07-24,11.0601,42.6701,86.8078,53.9994,6.325,23.9123,109.4047,45.3168
2014-07-25,11.41,42.2369,85.6709,52.0672,6.2154,24.0186,109.9237,44.3103
2014-07-28,11.17,42.2205,85.6057,51.9339,6.1607,24.1217,109.7537,44.3561
2014-07-29,11.06,42.0734,85.4659,51.7594,6.0968,24.1373,110.3443,44.3835
2014-07-30,11.08,41.2478,84.7204,51.8951,6.0511,23.9092,116.3398,44.6123
2014-07-31,10.72,41.0107,82.0085,51.1557,6.2702,23.1687,113.9953,43.4869
2014-08-01,10.81,40.3813,81.0113,51.3496,6.3341,22.9906,112.3488,44.0267
2014-08-04,10.86,40.9044,81.0113,51.4345,6.6627,23.1624,115.1228,44.5848
2014-08-05,10.78,40.3159,80.4801,51.0418,6.6353,23.0406,114.4338,44.3469
2014-08-06,10.92,40.4221,80.5174,51.0781,6.6992,23.1093,113.7268,44.8593
2014-08-07,11.13,40.3077,80.1633,50.6781,6.6992,22.9843,112.5277,44.1457
2014-08-08,11.46,40.136,81.5146,51.0224,6.6718,23.2812,113.6016,45.9298
2014-08-11,11.74,40.4712,81.03,51.0515,6.6809,23.3905,113.9327,45.5364
