Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2014-01-02,-0.88,-0.25,0.11,-0.31,0.12,0
2014-01-03,0.03,0.41,0.05,-0.35,0.14,0
2014-01-06,-0.34,-0.55,0.26,-0.35,0.06,0
2014-01-07,0.68,0.33,-0.41,-0.04,-0.29,0
2014-01-08,0.04,0.01,-0.11,-0.5,-0.05,0
2014-01-09,0.02,0.16,-0.38,-0.57,-0.41,0
2014-01-10,0.27,0.45,-0.77,-0.29,-0.31,0
2014-01-13,-1.32,-0.1,0.1,-0.09,0.47,0
2014-01-14,1.15,0.13,-0.38,-0.11,-0.35,0
2014-01-15,0.53,0.21,0.21,-0.38,0,0
2014-01-16,-0.07,0.23,-0.68,-0.02,-0.27,0
2014-01-17,-0.39,0.02,0.04,-0.21,0.03,0
2014-01-21,0.3,0.42,-0.01,-0.25,-0.35,0
2014-01-22,0.15,0.29,0.21,-0.17,-0.17,0
2014-01-23,-0.86,0.1,-0.5,0.28,-0.09,0
2014-01-24,-2.19,-0.39,0.22,0.32,0.05,0
2014-01-27,-0.65,-0.8,0.46,0.42,0.4,0
2014-01-28,0.73,0.18,-0.02,-0.77,0.16,0
2014-01-29,-1.07,-0.35,0.25,0.16,0.15,0
2014-01-30,1.22,0.22,-0.42,-0.89,-0.54,0
2014-01-31,-0.66,-0.09,-0.39,0.26,-0.18,0
2014-02-03,-2.48,-0.86,0.32,0.2,0.03,0
2014-02-04,0.77,-0.07,-0.1,-0.13,0.22,0
2014-02-05,-0.23,-0.57,0.2,0.14,0.22,0
2014-02-06,1.21,-0.43,0.23,0.08,-0.07,0
2014-02-07,1.33,-0.22,-0.66,-0.44,-0.51,0
2014-02-10,0.16,0.07,-0.44,-0.26,-0.18,0
2014-02-11,1.09,-0.18,0.25,-0.03,0.1,0
2014-02-12,0.11,0.24,-0.08,0.13,0.01,0
2014-02-13,0.72,0.67,-0.09,-0.24,-0.34,0
2014-02-14,0.42,-0.32,0.38,0.33,0.38,0
2014-02-18,0.27,0.95,-0.24,-0.36,-0.27,0
2014-02-19,-0.74,-0.31,-0.4,0.32,0.03,0
2014-02-20,0.7,0.51,-0.14,0.01,-0.18,0
2014-02-21,-0.09,0.35,-0.04,-0.03,-0.06,0
2014-02-24,0.65,0.2,0.26,-0.21,-0.01,0
2014-02-25,-0.1,0.05,-0.61,-0.04,0.08,0
2014-02-26,0.12,0.65,-0.09,-0.04,0.03,0
2014-02-27,0.54,0.11,0.01,-0.25,-0.02,0
2014-02-28,0.15,-0.66,0.83,0.42,0.09,0
2014-03-03,-0.7,0.09,0.15,0.04,0.14,0
2014-03-04,1.67,1.07,-0.12,-0.47,-0.13,0
2014-03-05,0.01,-0.23,0.28,-0.57,-0.16,0
2014-03-06,0.16,-0.24,0.76,0.31,0.35,0
2014-03-07,0.04,-0.02,0.51,0.09,0.32,0
2014-03-10,-0.09,-0.08,0.06,0.05,-0.13,0
2014-03-11,-0.62,-0.54,-0.19,0.54,-0.04,0
2014-03-12,0.13,0.29,-0.16,-0.09,-0.42,0
2014-03-13,-1.21,-0.07,0.27,0.15,0.04,0
2014-03-14,-0.16,0.68,-0.05,0.19,0.07,0
2014-03-17,0.9,-0.35,-0.01,0.11,0.03,0
2014-03-18,0.82,0.69,-0.42,-0.34,-0.27,0
2014-03-19,-0.59,-0.13,0.6,-0.4,0.02,0
2014-03-20,0.52,-0.36,0.99,-0.12,0.32,0
2014-03-21,-0.37,-0.18,0.88,0.42,0.46,0
2014-03-24,-0.64,-0.79,0.96,0.59,0.36,0
2014-03-25,0.3,-0.33,0.14,0.26,0.14,0
2014-03-26,-0.89,-1.11,0.3,0.7,0.45,0
2014-03-27,-0.19,-0.13,-0.24,0.07,0.02,0
2014-03-28,0.41,-0.36,0.52,0.56,0.31,0
2014-03-31,0.97,0.99,-0.16,-0.18,0.03,0
2014-04-01,0.87,0.66,-0.41,-0.11,-0.28,0
2014-04-02,0.29,0.04,0.12,0.1,0.04,0
2014-04-03,-0.31,-0.78,0.78,0.53,0.39,0
2014-04-04,-1.47,-1.03,0.74,0.62,0.47,0
2014-04-07,-1.26,-0.36,-0.02,0.18,0.06,0
2014-04-08,0.5,0.29,-0.22,0.07,-0.12,0
2014-04-09,1.2,0.24,-0.93,-0.42,-0.54,0
2014-04-10,-2.24,-0.61,0.86,0.82,0.76,0
2014-04-11,-1.07,-0.41,0.29,0.4,0.04,0
2014-04-14,0.7,-0.47,0.21,0.33,-0.17,0
2014-04-15,0.59,-0.36,0.17,-0.13,-0.16,0
2014-04-16,1.13,-0.01,-0.44,-0.02,-0.1,0
2014-04-17,0.23,0.32,0.25,-0.13,0.17,0
2014-04-21,0.36,0.18,-0.43,0.1,-0.07,0
2014-04-22,0.58,0.69,-0.37,-0.64,-0.08,0
2014-04-23,-0.31,-0.54,0.89,0.2,0.23,0
2014-04-24,0.08,-0.42,-0.17,0.17,-0.2,0
2014-04-25,-1.05,-0.88,0.61,0.76,0.65,0
2014-04-28,0.11,-0.66,-0.54,1.2,0.02,0
2014-04-29,0.56,-0.24,-0.22,-0.52,-0.18,0
2014-04-30,0.35,0.23,-0.03,0.09,0.06,0
2014-05-01,0.04,-0.16,-0.18,-0.43,-0.2,0
2014-05-02,-0.07,0.28,0.33,0.34,0.14,0
2014-05-05,0.13,-0.37,-0.52,0.17,-0.28,0
2014-05-06,-1.03,-0.49,0.17,0.83,0.13,0
2014-05-07,0.45,-0.76,1.17,-0.02,0.56,0
2014-05-08,-0.26,-0.96,0.34,0.14,0.26,0
2014-05-09,0.25,0.63,-0.39,-0.14,-0.07,0
2014-05-12,1.2,1.36,-0.3,-0.48,-0.32,0
2014-05-13,-0.05,-1.04,0.18,0.02,-0.01,0
2014-05-14,-0.6,-1.12,-0.43,0.21,-0.22,0
2014-05-15,-0.9,0.33,-0.27,0.23,-0.06,0
2014-05-16,0.36,0.22,-0.4,0.23,-0.15,0
2014-05-19,0.5,0.64,0,-0.28,-0.07,0
2014-05-20,-0.78,-0.78,0.23,0.14,-0.11,0
2014-05-21,0.81,-0.26,0.05,0.05,-0.13,0
2014-05-22,0.36,0.61,-0.27,-0.53,-0.23,0
2014-05-23,0.49,0.6,-0.24,-0.08,-0.03,0
2014-05-27,0.69,0.67,-0.19,-0.55,-0.3,0
2014-05-28,-0.11,-0.27,0.27,0.09,0.14,0
2014-05-29,0.54,-0.22,-0.12,-0.01,-0.22,0
2014-05-30,0.06,-0.64,0.28,0.34,0.1,0
2014-06-02,0.06,-0.65,0.4,0.17,0.17,0
2014-06-03,-0.05,-0.24,0.18,0.08,-0.16,0
2014-06-04,0.28,0.23,-0.09,-0.18,-0.19,0
2014-06-05,0.77,1.28,-0.18,-0.18,-0.1,0
2014-06-06,0.54,0.49,-0.01,-0.13,-0.09,0
2014-06-09,0.22,1,-0.31,-0.42,-0.05,0
2014-06-10,-0.03,-0.19,-0.04,-0.32,0.08,0
2014-06-11,-0.34,-0.16,-0.28,-0.1,-0.16,0
2014-06-12,-0.68,0.11,0.17,-0.22,-0.03,0
2014-06-13,0.31,-0.06,-0.19,0.08,-0.13,0
2014-06-16,0.13,0.41,-0.67,-0.06,-0.3,0
2014-06-17,0.34,0.56,0.45,-0.55,0.06,0
2014-06-18,0.75,-0.26,-0.09,0.03,-0.17,0
2014-06-19,0.12,-0.15,-0.04,0.13,-0.09,0
2014-06-20,0.18,0.21,0.04,0.03,0.01,0
2014-06-23,-0.01,-0.22,0.08,-0.06,-0.18,0
2014-06-24,-0.72,-0.36,-0.21,0.04,0.02,0
2014-06-25,0.53,0.33,0.07,-0.17,-0.22,0
2014-06-26,-0.11,-0.08,0.05,0.09,-0.06,0
2014-06-27,0.26,0.48,-0.22,0.15,-0.14,0
2014-06-30,0.07,0.27,0.19,-0.24,-0.16,0
2014-07-01,0.74,0.42,-0.37,0.04,-0.11,0
2014-07-02,-0.03,-0.45,-0.21,0.15,0.22,0
2014-07-03,0.59,0.21,0.08,0.04,0.23,0
2014-07-07,-0.62,-1.2,0.38,0.74,0.28,0
2014-07-08,-0.82,-0.55,0.71,0.86,0.45,0
2014-07-09,0.46,-0.4,-0.11,-0.03,-0.09,0
2014-07-10,-0.49,-0.6,0.02,0.08,0.08,0
2014-07-11,0.12,-0.3,-0.39,-0.39,-0.15,0
2014-07-14,0.46,-0.01,-0.13,-0.02,-0.16,0
2014-07-15,-0.32,-0.82,0.98,0.22,0.37,0
2014-07-16,0.32,-0.58,0.32,0.2,0.19,0
2014-07-17,-1.21,-0.36,0.18,0.35,0.18,0
2014-07-18,1.12,0.45,-0.47,-0.25,-0.32,0
2014-07-21,-0.25,-0.23,0.05,-0.33,-0.3,0
2014-07-22,0.53,0.26,-0.32,0.15,-0.17,0
2014-07-23,0.19,0.09,-0.75,-0.21,0,0
2014-07-24,0.05,-0.27,0.04,-0.2,-0.03,0
2014-07-25,-0.53,-0.36,0.16,0.11,0.03,0
2014-07-28,-0.08,-0.45,0.28,0.02,0,0
2014-07-29,-0.33,0.63,-0.67,-0.16,-0.14,0
2014-07-30,0.12,0.35,-0.29,-0.7,-0.33,0
2014-07-31,-2.03,-0.17,0.46,0.36,0.29,0
2014-08-01,-0.32,-0.25,-0.06,0.08,0.14,0
2014-08-04,0.74,0.04,-0.22,-0.11,-0.43,0
2014-08-05,-0.84,0.71,-0.19,-0.16,0.02,0
2014-08-06,0.02,0.38,0.18,-0.07,0.26,0
2014-08-07,-0.52,-0.06,-0.14,0.02,-0.03,0
2014-08-08,1.12,-0.14,-0.18,0.35,0.15,0
2014-08-11,0.4,0.57,-0.29,-0.09,-0.27,0
2014-08-12,-0.23,-0.58,0.25,0.02,0.02,0
2014-08-13,0.69,-0.14,-0.24,-0.4,-0.21,0
2014-08-14,0.44,-0.26,0.04,-0.21,0,0
2014-08-15,0,-0.14,-0.15,0.25,-0.21,0
2014-08-18,0.93,0.58,-0.19,-0.02,0.02,0
2014-08-19,0.49,-0.11,-0.1,0.26,-0.12,0
2014-08-20,0.19,-0.64,0.27,0.06,0.28,0
2014-08-21,0.28,-0.08,0.82,-0.12,0.25,0
2014-08-22,-0.1,0.27,-0.39,-0.03,-0.18,0
2014-08-25,0.5,-0.21,0.04,-0.02,-0.1,0
2014-08-26,0.19,0.68,-0.33,-0.35,-0.18,0
