date,V,TRP,JBLU,AXP,COT,AMGN,GGG,FL
2014-06-27,50.8274,39.9593,10.88,88.9042,6.3508,106.8616,24.289,46.4331
2014-06-30,51.1747,40.0853,10.85,88.848,6.4791,106.6633,24.389,46.5249
2014-07-01,52.0344,40.2029,10.98,89.2976,6.4974,108.4115,24.6607,47.3321
2014-07-02,52.1777,40.3205,10.75,89.1665,6.5524,109.0603,24.5889,47.1578
2014-07-03,52.5833,40.2701,10.89,89.7565,6.5524,110.7003,24.7107,47.4605
2014-07-07,52.6392,40.0433,10.62,89.3444,6.5432,108.2763,24.6857,46.8276
2014-07-08,52.2797,40.3373,10.49,88.5671,6.5157,108.0961,24.5389,46.5157
2014-07-09,52.4983,40.9169,10.66,88.9709,6.5157,107.7446,24.3515,46.5432
2014-07-10,52.3477,41.4965,10.73,88.7079,6.4699,107.186,24.0204,46.424
2014-07-11,52.7023,41.3705,10.82,88.7173,6.4608,107.9249,23.833,45.8461
2014-07-14,53.6811,41.5637,10.71,88.7831,6.4241,107.213,23.9267,45.6534
2014-07-15,53.8632,41.7233,10.82,88.6985,6.3874,105.3027,23.6893,45.4425
2014-07-16,54.0794,42.6726,10.87,88.7173,6.3874,106.0686,23.6049,44.4105
2014-07-17,52.916,42.6222,10.63,87.3274,6.3233,103.978,23.199,43.4246
2014-07-18,53.4795,42.5886,10.83,87.8346,6.3325,106.6003,23.641,44.8436
2014-07-21,53.2415,42.513,10.71,87.2241,6.2866,107.2581,23.4905,44.6685
2014-07-22,53.7369,42.9162,10.78,87.6843,6.305,109.1323,23.6222,44.2907
2014-07-23,53.7224,43.5378,11.28,87.5998,6.2775,109.9433,23.5375,44.6593
2014-07-24,54.0964,43.8486,11.0601,87.4777,6.3508,110.1686,23.9921,45.636
2014-07-25,52.1607,43.4034,11.41,86.332,6.2408,110.6912,24.0987,44.6224
2014-07-28,52.0271,43.3866,11.17,86.2662,6.1858,110.52,24.2022,44.6685
2014-07-29,51.8523,43.2354,11.06,86.1254,6.1217,111.1148,24.2178,44.6962
2014-07-30,51.9883,42.387,11.08,85.3741,6.0759,117.1521,23.989,44.9265
2014-07-31,51.2475,42.1434,10.72,82.6413,6.2958,114.7913,23.246,43.7932
2014-08-01,51.4418,41.4965,10.81,81.6365,6.36,113.1332,23.0673,44.3368
2014-08-04,51.5268,42.0341,10.86,81.6365,6.6899,115.9266,23.2397,44.8989
2014-08-05,51.1334,41.4293,10.78,81.1012,6.6624,115.2328,23.1175,44.6593
2014-08-06,51.1698,41.5385,10.92,81.1387,6.7265,114.5209,23.1864,45.1753
2014-08-07,50.7691,41.4209,11.13,80.7819,6.7265,113.3135,23.061,44.4566
2014-08-08,51.114,41.2445,11.46,82.1436,6.699,114.3948,23.3589,46.2533
2014-08-11,51.1431,41.5889,11.74,81.6552,6.7082,114.7282,23.4686,45.8571
2014-08-12,51.0751,41.7905,11.62,81.7773,6.7174,114.3751,23.3714,46.3362
2014-08-13,51.4474,42.3702,11.88,82.0778,6.6715,115.2986,23.572,46.2533
2014-08-14,51.7126,42.6054,11.8,81.9557,6.754,119.3912,23.7445,46.7232
2014-08-15,51.1457,42.8658,11.91,81.3266,6.8731,120.2423,23.5877,45.8939
2014-08-18,52.1506,42.9582,12.28,81.8525,6.7815,120.6226,23.9827,46.714
2014-08-19,52.3161,43.4118,12.33,82.754,6.9648,120.4415,24.0987,47.8749
2014-08-20,52.6081,43.6302,12.73,83.1015,6.9281,120.1336,24.2241,48.308
2014-08-21,52.4986,43.3698,12.47,83.7119,6.9098,119.9978,24.2617,48.437
2014-08-22,52.5813,42.9498,12.6,83.4677,6.7357,120.2604,24.1457,49.8651
2014-08-25,52.5643,43.9326,12.61,84.1345,6.7357,122.0441,24.3182,50.2889
2014-08-26,52.737,44.2182,12.44,83.7213,6.7542,124.2896,24.2805,51.0168
2014-08-27,52.8344,45.2598,12.38,83.8058,6.7357,124.7967,24.3025,51.9106
2014-08-28,52.2188,45.243,12.41,83.5992,6.9205,125.5753,24.0893,51.5881
2014-08-29,51.7126,45.1758,12.23,84.0969,6.9297,126.2001,24.0956,51.6986
2014-09-02,52.2504,45.4614,12.64,84.2566,6.939,124.9144,24.3558,52.749
2014-09-03,52.2918,46.1334,12.36,84.651,7.0036,125.4757,24.3307,52.6292
2014-09-04,52.136,46.1166,12.525,84.1908,7.0775,124.9596,24.1708,52.8227
2014-09-05,52.1239,46.6122,12.54,84.1533,6.9944,124.8419,24.2022,52.6937
2014-09-08,52.5034,46.2594,12.47,83.5147,6.939,126.1005,24.1865,52.7029
2014-09-09,52.1409,46.6962,12.04,82.5474,7.0221,124.3983,23.9012,52.0488
2014-09-10,52.7735,46.0662,12.29,83.0263,7.0129,126.028,23.9953,52.3252
2014-09-11,52.3039,45.6294,12.24,83.0357,7.0221,125.8198,24.1489,52.6569
2014-09-12,52.0825,45.0918,12.19,82.3032,6.8835,124.851,23.9545,52.6108
2014-09-15,52.2285,44.7138,11.26,82.0591,6.8743,124.9234,23.7978,52.6384
2014-09-16,52.8757,45.0498,11.415,82.9794,6.8835,126.1548,23.6316,53.4216
2014-09-17,52.445,44.949,11.2,83.6461,6.902,127.4043,23.5564,52.8043
2014-09-18,52.6665,46.6374,11.33,84.6134,6.8835,128.5904,23.5971,52.8688
2014-09-19,52.6202,47.2002,11.36,84.2378,6.8004,130.3923,23.4874,52.3528
2014-09-22,52.0436,46.2174,10.9,83.571,6.7357,128.7353,23.2491,52.1685
2014-09-23,51.698,45.2262,10.765,82.9324,6.6525,127.3772,23.1927,51.8184
2014-09-24,52.1725,45.0162,10.645,83.1296,6.5601,128.7896,23.2366,52.4818
2014-09-25,51.2722,43.8234,10.4,81.4768,6.5324,126.6256,22.8259,51.6526
2014-09-26,51.5715,44.1063,10.58,82.9888,6.5786,127.7212,22.8416,52.4818
2014-09-29,51.3257,44.0216,10.53,82.5943,6.4308,126.8248,22.967,52.1133
2014-09-30,51.9195,43.6489,10.62,82.2093,6.3476,127.178,22.8792,51.2748
2014-10-01,51.1019,43.1745,10.245,80.8247,6.3291,125.693,22.3525,50.5101
2014-10-02,51.0313,43.0221,10.585,80.8812,6.3384,124.2262,22.3901,50.6206
2014-10-03,51.5837,42.7171,11.125,82.0963,6.3846,125.9918,22.4999,51.7539
2014-10-06,51.535,43.3778,10.85,81.9738,6.3384,124.5975,22.5406,51.3669
2014-10-07,50.6249,42.9628,10.65,80.3914,6.209,123.1669,21.9669,50.6667
2014-10-08,51.6737,42.5985,10.82,82.3318,6.2552,126.8248,22.2334,51.2287
2014-10-09,50.5422,40.4639,10.68,80.9001,6.1351,124.5703,21.4622,50.768
2014-10-10,49.8779,40.4216,10.06,80.0523,6.1166,124.3983,21.3336,50.8141
2014-10-13,49.7076,39.0239,9.41,77.9707,6.1813,120.9304,21.2678,49.6163
2014-10-14,49.328,37.8635,10.23,77.9331,5.9873,119.699,21.945,49.6532
2014-10-15,48.727,38.3294,10.295,76.2282,5.978,118.522,22.2271,49.3016
2014-10-16,49.3961,39.4475,11.22,75.5783,5.9688,118.1145,22.833,48.7373
2014-10-17,50.1261,39.6084,10.86,77.7824,5.9134,121.0481,22.8298,49.4681
2014-10-20,50.5763,40.1844,11.23,79.1293,6.0058,124.5069,23.0721,50.3008
2014-10-21,51.9049,40.9891,11.56,80.6646,6.052,130.4647,23.6701,51.2537
2014-10-22,51.3233,40.2183,11.18,79.0822,5.9873,130.0573,23.1131,50.5968
2014-10-23,52.1409,40.5995,10.86,80.6363,5.9596,133.3259,24.0037,51.0131
2014-10-24,51.9462,40.9976,10.96,81.3804,5.9965,133.3349,23.8999,50.6061
2014-10-27,51.9292,40.9044,11.08,81.5971,6.0058,134.1861,23.8243,50.9299
2014-10-28,52.7322,41.887,11.38,82.8969,6.015,142.326,24.6678,51.3092
2014-10-29,52.2334,41.6922,11.54,83.2077,5.7748,143.8561,24.2366,51.5035
2014-10-30,57.5842,42.0479,11.18,83.5845,6.1166,146.3008,24.8031,51.5035
2014-10-31,58.7473,41.7515,11.54,84.7242,5.6085,146.8441,24.7055,51.818
2014-11-03,58.7741,41.1077,11.74,85.5719,5.747,146.2827,24.737,51.966
2014-11-04,59.122,40.9722,12.14,86.0711,5.5807,145.2415,24.5985,49.6161
2014-11-05,60.7183,42.3021,12.125,87.0507,5.5992,143.9105,24.6741,48.765
2014-11-06,60.8546,41.6922,12.81,86.2595,5.7655,145.1871,24.8692,50.3933
2014-11-07,61.4239,41.8447,12.56,86.9,5.8856,145.0966,24.8661,50.421
2014-11-10,60.8838,41.887,13.09,87.0319,6.0335,148.2324,25.0423,50.6708
2014-11-11,60.767,42.1157,12.95,86.4102,5.9596,147.6234,25.121,50.6061
2014-11-12,61.4252,42.6578,12.53,86.2312,5.978,147.178,25.0108,51.559
2014-11-13,61.1741,42.0479,12.59,85.7791,6.1166,146.1964,24.8031,51.5035
2014-11-14,60.667,41.8362,12.6,85.4024,6.209,143.3152,24.7118,51.7995
2014-11-17,60.901,42.4376,12.375,84.8937,6.3569,144.6422,24.8661,50.6986
2014-11-18,60.884,41.9886,12.72,85.3176,6.1813,147.4598,24.8849,50.7263
2014-11-19,60.9157,42.9289,13.245,85.2422,6.1536,147.8234,24.63,51.9845
2014-11-20,61.3569,43.0559,13.44,85.3553,6.1166,147.8597,24.6835,52.7339
2014-11-21,61.9786,42.9458,13.25,85.1386,6.1628,147.9779,25.0171,50.4673
2014-11-24,62.0762,41.9717,13.44,85.7509,6.0889,149.2231,25.1745,52.2066
2014-11-25,62.7198,41.8277,13.645,86.0899,6.0889,147.4598,25.4451,52.6507
2014-11-26,62.7198,39.6338,13.6,86.137,6.2288,149.7139,25.2909,52.4841
2014-11-28,62.9465,40.7943,14.63,87.0507,6.1076,150.2501,25.2091,53.0022
