date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2015-06-04,1.22E+11,81185280000,8939511000,452792073.7,6980150000,1.68E+11,29350000000,896200000,
2015-06-05,1.21E+11,81215970000,8905407000,451856295,7017825000,1.68E+11,29390000000,899900000,
2015-06-08,1.20E+11,80622630000,8881250000,451731524.6,6510925000,1.66E+11,28930000000,904600000,
2015-06-09,1.19E+11,80990910000,8810200000,451856295,6462975000,1.67E+11,29130000000,899900000,
2015-06-10,1.20E+11,82034370000,8881250000,455100327.5,6558875000,1.71E+11,30080000000,908300000,
2015-06-11,1.22E+11,82146900000,8975036000,458344360,6599975000,1.71E+11,30000000000,928800000,
2015-06-12,1.20E+11,81359190000,9009140000,452916844.1,6687312500,1.71E+11,29720000000,940000000,
2015-06-15,1.20E+11,81072750000,8891197000,447988410.2,6692450000,1.69E+11,29860000000,952100000,
2015-06-16,1.20E+11,81185280000,8953721000,447988410.2,6695875000,1.70E+11,29860000000,957700000,
2015-06-17,1.20E+11,82167360000,8977878000,447926024.9,6692450000,1.69E+11,30250000000,977300000,
2015-06-18,1.23E+11,82627710000,9056033000,451294827.9,6836300000,1.71E+11,30120000000,980100000,
2015-06-19,1.24E+11,82034370000,9121399000,448237951.1,6928775000,1.69E+11,29880000000,965200000,
2015-06-22,1.25E+11,83118750000,9219448000,448861803.5,7264425000,1.70E+11,30300000000,969900000,
2015-06-23,1.25E+11,83231280000,9357285000,448612262.6,7243875000,1.71E+11,30780000000,954900000,
2015-06-24,1.23E+11,82597020000,9314655000,448674647.8,7158250000,1.69E+11,30860000000,948400000,
2015-06-25,1.22E+11,81717240000,9387126000,447988410.2,7249012500,1.69E+11,30830000000,952100000,
2015-06-26,1.22E+11,81717240000,9564751000,446141152.9,7120575000,1.69E+11,29920000000,943700000,
2015-06-29,1.17E+11,79589400000,9382863000,434869051.5,6918500000,1.64E+11,29180000000,921400000,
2015-06-30,1.18E+11,78730360000,9522121000,437517687.3,7172580000,1.64E+11,28800000000,912000000,
2015-07-01,1.19E+11,79419200000,9658537000,439427169,6930730000,1.66E+11,28340000000,925100000,
2015-07-02,1.18E+11,79226730000,9593171000,438133649.2,7127665000,1.67E+11,28820000000,915800000,
2015-07-03,1.18E+11,79226730000,9593171000,438133649.2,7127665000,1.67E+11,28820000000,915800000,
2015-07-06,1.19E+11,78598670000,9661379000,436162571.3,7169125000,1.67E+11,28180000000,1083000000,
2015-07-07,1.19E+11,78558150000,9786427000,437332898.8,7260682500,1.66E+11,28210000000,1107000000,
2015-07-08,1.17E+11,76917090000,9794953000,427970279,7141485000,1.63E+11,27760000000,1095000000,
2015-07-09,1.16E+11,77332420000,9797795000,423596950,7220950000,1.64E+11,27470000000,1083000000,
2015-07-10,1.18E+11,78315030000,9884476000,424336104.2,7504260000,1.67E+11,27920000000,1123000000,
2015-07-13,1.20E+11,79550890000,10016629000,429510183.6,7597545000,1.70E+11,28180000000,1147000000,
2015-07-14,1.22E+11,79996610000,9973999000,428586240.8,7756475000,1.72E+11,28180000000,1158000000,
2015-07-15,1.23E+11,79561020000,9867424000,414480714.9,7701195000,1.71E+11,28180000000,1132000000,
2015-07-16,1.25E+11,79945960000,9937053000,413864753.1,7856670000,1.73E+11,28450000000,1153000000,
2015-07-17,1.25E+11,80249860000,9870266000,406440060.3,7925770000,1.74E+11,28340000000,1163000000,
2015-07-20,1.26E+11,80330900000,9948421000,415968416.1,7905040000,1.78E+11,27810000000,1171000000,
2015-07-21,1.26E+11,79976350000,9891581000,414669094.8,8019055000,1.76E+11,27520000000,1221000000,
2015-07-22,1.26E+11,80016870000,9983946000,413122283.8,8126160000,1.76E+11,26840000000,1202000000,
2015-07-23,1.26E+11,78011130000,9932790000,433107082,8022510000,1.76E+11,26590000000,1186000000,
2015-07-24,1.22E+11,76886700000,9866003000,429580352.9,7853215000,1.83E+11,26790000000,1163000000,
2015-07-27,1.27E+11,75893960000,9775059000,430260949.8,7721925000,1.81E+11,26790000000,1132000000,
2015-07-28,1.33E+11,76086430000,9806321000,434035168.6,7884310000,1.83E+11,27050000000,1128000000,
2015-07-29,1.32E+11,76684100000,9863161000,440469902.4,7922315000,1.86E+11,26980000000,1139000000,
2015-07-30,1.32E+11,77109560000,9988209000,441831096.1,7898130000,1.87E+11,27430000000,1215000000,
2015-07-31,1.36E+11,77048780000,10025155000,442326075.6,7939590000,1.84E+11,27590000000,1233000000,
2015-08-03,1.35E+11,76967740000,9916434000,442387948.1,8150345000,1.85E+11,26740000000,1239000000,
2015-08-04,1.34E+11,76704360000,10135449000,441459861.5,8240175000,1.84E+11,26970000000,1278000000,
2015-08-05,1.36E+11,76572670000,10237185000,444862845.7,8181440000,1.84E+11,26590000000,1253000000,
2015-08-06,1.30E+11,75975000000,10076103000,441521733.9,8039785000,1.80E+11,26670000000,1244000000,
2015-08-07,1.32E+11,80756360000,10036539000,441831096.1,8050150000,1.82E+11,26130000000,1238000000,
2015-08-10,1.31E+11,82316380000,10344573000,449874513.3,8039785000,1.82E+11,26330000000,1231000000,
2015-08-11,1.29E+11,82397420000,10360116000,443625396.9,8150345000,1.80E+11,26080000000,1213000000,
2015-08-12,1.31E+11,82053000000,10204686000,447152126,7998325000,1.80E+11,26270000000,1225000000,
2015-08-13,1.29E+11,81809880000,10266858000,446347784.2,8229810000,1.81E+11,25590000000,1261000000,
2015-08-14,1.29E+11,81961830000,10345986000,445667187.4,8292000000,1.82E+11,25580000000,1239000000,
2015-08-17,1.30E+11,82053000000,10461852000,448265829.9,8430200000,1.82E+11,25690000000,1250000000,
2015-08-18,1.29E+11,82296120000,10473156000,446038422,8305820000,1.82E+11,25800000000,1231000000,
2015-08-19,1.28E+11,82002350000,10464678000,436819428.4,8271270000,1.82E+11,25040000000,1205000000,
2015-08-20,1.24E+11,79783880000,10134036000,428714138.8,7936135000,1.81E+11,24470000000,1194000000,
2015-08-21,1.19E+11,78031390000,9752526000,417205864.9,7486985000,1.74E+11,24040000000,1157000000,
2015-08-24,1.13E+11,75620450000,9571662000,400871540.6,7331510000,1.67E+11,23210000000,1125000000,
2015-08-25,1.12E+11,74475760000,9604161000,400933413.1,7421340000,1.64E+11,22940000000,1135000000,
2015-08-26,1.18E+11,76613190000,9987084000,407306274.4,7673555000,1.73E+11,23030000000,1161000000,
2015-08-27,1.20E+11,77879440000,10149579000,418938293.2,7732290000,1.77E+11,24230000000,1168000000,
2015-08-28,1.20E+11,77646450000,10119906000,423083746.7,7702922500,1.77E+11,24420000000,1165000000,
2015-08-31,1.17E+11,77717360000,10002627000,426857965.6,7711560000,1.75E+11,24550000000,1158000000,
2015-09-01,1.13E+11,74962000000,9947520000,407863126.4,7639005000,1.69E+11,23600000000,1114000000,
2015-09-02,1.17E+11,75914220000,10094472000,413246028.7,8129615000,1.70E+11,23470000000,1111000000,
2015-09-03,1.15E+11,76238380000,10016757000,417762716.8,8091610000,1.72E+11,23840000000,1135000000,
