date,AAPL,ABBV,ABT,ACN,AGN,AIG,ALL,AMZN,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CELG,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,DWDP,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TXN,UNH,UNP,UPS,USB,UTX,VZ,WBA,WFC,WMT,XOM
2014-06-27,84.9895,48.4173,36.7677,74.1437,216.6344,50.0401,54.0032,324.57,114.3271,14.328,318.13,33.4135,1205.47,284.0217,43.3648,127.32,44.8915,94.2919,86.8,154.84,61.8306,24.8583,76.1726,75.3249,102.2368,21.21,69.0525,108.622,58.3655,79.4625,60.721,,57.8009,30.8119,13.5021,67.6,146.0084,32.7185,33.5946,107.7725,22.8931,75.448,30.3604,577.24,585.69,156.908,65.3514,73.708,84.9558,154.1418,27.214,92.8644,50.8795,,30.339,36.4591,56.0376,143.6669,43.8246,71.0406,88.9003,34.3086,58.0986,42.8814,128.3216,34.677,50.0247,28.9265,38.0124,89.3352,63.1542,36.8854,17.6367,37.8976,84.6596,77.8119,25.2542,68.3187,69.0158,,67.6655,85.2849,36.1016,104.3962,36.3723,140.7452,27.8002,49.9448,42.5206,76.4669,90.0963,89.8332,38.8947,104.7691,39.6711,68.5241,46.5149,66.6569,85.4167
2014-06-30,85.8673,48.1189,37.0942,73.6789,216.421,50.0126,54.0308,324.78,113.162,14.3654,315.31,34.5663,1203.0,286.2699,42.8874,126.56,44.8534,94.1965,85.88,158.38,61.6047,24.7545,75.7963,75.0884,101.9447,21.3388,68.7334,108.7803,58.0264,79.8724,61.1247,,57.3172,30.9732,13.4708,67.29,145.9795,32.6137,33.4993,106.9012,22.7632,75.4207,30.0951,575.28,584.67,157.5289,65.8521,73.5535,84.6734,153.7686,27.1876,92.5371,50.9591,,30.5242,36.6061,55.2117,141.9273,44.3514,71.1083,88.2695,34.5937,57.7724,42.8891,127.9198,34.7765,50.303,29.6416,37.5176,90.109,62.9428,36.8237,17.7902,37.8976,85.0075,78.3204,25.2627,67.9469,68.5766,,67.8454,83.8801,35.8422,104.5291,36.6306,140.088,27.7609,49.7987,42.5473,76.2338,90.1957,89.7895,38.8588,103.7536,39.3574,68.5518,46.2159,66.4181,84.9694
2014-07-01,86.4124,48.5025,37.3482,74.0526,217.3427,50.7457,54.3989,332.39,113.9803,14.5803,324.74,34.9537,1246.77,288.76,42.8607,127.24,45.1962,94.6299,88.5,160.3999,61.8757,24.9528,76.1817,75.4213,102.1926,21.5363,69.3444,108.772,58.594,80.5524,60.6633,,57.4813,30.311,13.4474,68.06,146.9438,32.709,33.6422,107.3807,22.8671,77.5857,31.1646,582.67,591.49,156.9362,65.7038,74.3348,86.1674,158.0779,27.258,93.6427,51.2708,,30.3475,36.5456,55.5047,141.8478,44.4808,73.1021,88.4973,34.8329,58.1867,43.3677,129.0986,34.6853,50.8768,29.6325,37.6706,89.2033,67.5856,37.0373,17.9917,38.122,85.1483,78.1363,25.6032,68.5435,68.4952,,68.2994,84.6529,36.1665,104.4405,36.3885,140.5935,27.8551,50.1596,43.1705,76.3643,90.5122,89.9557,38.8768,104.1849,39.7113,68.2282,46.3566,66.6039,85.5433
2014-07-02,86.3755,49.5427,37.9014,73.8794,215.1111,50.6266,54.2885,332.85,113.5089,14.814,331.0,34.6862,1237.84,288.3032,42.9676,127.73,45.72,94.968,90.07,162.0,61.8667,25.158,76.714,75.2023,102.467,21.6574,69.5359,108.5137,58.0559,80.5245,59.5016,,57.5591,29.3685,13.4552,66.45,146.8377,33.0329,34.0234,106.5047,23.049,79.2322,31.2889,582.335,590.78,157.0115,65.6759,74.4802,85.885,159.8084,27.258,93.6339,50.7365,,30.0949,36.5456,55.6823,140.382,44.4715,73.7506,88.0855,34.8696,58.1867,43.306,129.6969,34.7184,51.3464,29.7883,37.6975,87.6646,66.6771,36.9376,17.9269,38.2904,84.6845,78.6097,25.85,68.7856,69.0239,,68.6763,84.0801,36.2174,104.3342,35.7266,140.4756,28.0043,50.5033,43.1883,76.9238,90.4851,90.5679,38.796,103.475,39.9445,67.5438,46.3039,66.9047,85.7206
2014-07-03,86.8837,49.6365,37.9921,74.326,214.9947,50.9839,54.2609,337.492,114.3004,14.9822,331.15,34.9814,1243.12,289.8528,43.1457,129.3,45.939,96.2855,90.19,162.42,62.183,25.3171,77.9528,75.6753,102.9981,21.7959,70.0648,109.3136,58.5571,80.8971,58.8178,,58.1896,28.8421,13.5334,66.29,148.1299,33.4807,34.5095,106.9842,23.2656,79.9599,31.2889,584.73,593.08,159.4293,65.815,74.5438,86.4315,159.9271,27.3988,93.2447,50.8077,,30.0107,36.4937,56.002,141.1944,44.5732,74.1667,88.4798,34.9248,58.7694,44.1706,129.8577,35.1496,51.4768,29.9075,37.6076,86.3632,67.4785,37.251,18.0877,38.5428,84.6265,78.9165,25.9862,69.1487,69.699,,69.3788,84.762,36.6204,104.1303,35.5248,139.9617,28.1378,51.1392,43.5801,77.7258,91.3079,90.8565,39.101,103.8255,39.9848,68.4131,46.6028,67.0197,86.5814
2014-07-07,88.6744,48.9374,37.6475,73.8703,214.2087,50.6815,53.856,333.55,114.8163,14.8981,325.68,34.7877,1252.4,287.6852,42.7627,128.7,45.6914,95.4881,88.86,160.675,62.2191,24.9851,76.6864,75.4125,102.9716,21.8305,69.9189,108.7136,57.8643,80.6642,58.9743,,58.4314,29.1732,13.5334,65.29,146.2688,32.9948,34.0139,106.7352,23.1703,79.3322,31.0402,582.25,590.76,157.8488,65.0639,73.9714,85.9761,159.5115,27.302,94.1734,50.4693,,29.9771,36.4159,55.6024,139.7816,44.5547,73.8372,87.77,34.9064,57.9136,43.7074,129.4111,35.3403,50.8855,29.6966,37.7785,86.5919,65.8028,37.346,17.9437,38.3459,84.1461,78.7762,25.9521,69.3302,70.0163,,69.2331,83.9164,36.449,104.0683,35.6862,140.2565,28.2791,51.5517,43.5534,76.6721,90.6569,90.2968,39.0023,103.439,40.0169,68.0432,46.1632,67.3028,86.632
2014-07-08,88.1034,47.4795,37.2303,73.925,210.4441,50.3333,53.81,323.81,112.7706,14.5616,317.59,34.677,1225.23,285.1145,42.6291,128.22,45.1581,94.8813,85.72,158.62,62.7974,24.5839,76.3744,75.3599,103.9808,21.6921,69.7912,108.2387,57.6284,79.9842,59.584,,58.5869,29.1393,13.3693,62.76,145.777,32.4899,33.4516,105.8592,22.8412,79.2413,31.1563,571.09,578.4,155.1487,64.6002,73.3718,85.8212,158.8159,27.0908,93.5101,49.6589,,29.9097,36.2431,55.4692,138.8191,44.1943,73.3622,87.6999,35.026,57.9227,43.2211,129.0986,35.4149,50.5812,29.1099,37.5896,86.9612,63.5785,36.8806,17.7998,38.0364,84.3863,78.6623,25.6628,69.6501,70.1871,,69.0875,82.9253,36.3888,103.4657,35.9526,140.4503,28.2791,51.3884,43.491,76.4016,90.5032,89.9994,38.7422,102.5134,39.6429,65.7683,45.9433,67.816,86.7839
2014-07-09,88.1403,46.8997,37.4298,73.4966,210.8225,50.4616,53.81,329.97,112.7706,14.5803,320.14,34.7047,1236.37,287.4881,42.6825,128.75,45.12,95.4707,87.52,162.15,62.9329,25.2387,77.4389,75.1497,104.7044,22.0122,70.0739,109.4802,57.7021,81.2511,59.411,,58.4746,29.0883,13.6193,64.97,145.9216,33.1854,34.2236,106.6154,22.7978,80.6695,31.4796,576.08,583.36,154.9229,65.5368,73.3446,86.1218,159.8338,27.1788,93.7931,49.8904,,30.1286,36.2517,55.6113,139.4549,44.2312,74.2733,88.5586,34.9616,57.9045,43.499,129.2057,35.4896,50.9116,29.3482,37.4906,86.8996,63.2857,37.365,18.3371,37.7551,84.4443,78.6973,25.5776,70.6098,69.9756,,69.1903,83.5254,36.8011,103.6518,35.888,141.2507,28.3507,51.6033,43.8739,77.157,90.9734,90.0694,38.9126,102.3067,39.7568,66.5359,45.8906,68.3114,87.3916
2014-07-10,87.8123,47.5647,37.4026,72.7037,210.085,49.921,53.4327,327.92,112.7706,14.4308,319.12,34.7877,1216.13,282.9558,43.208,128.45,44.6629,94.7946,87.83,162.88,62.7251,25.0658,76.7966,75.0359,104.8465,22.0122,69.8642,108.5303,57.4884,80.9157,59.6417,,58.0428,29.1732,13.5177,64.8725,144.8994,32.9853,34.033,106.5324,22.6939,80.906,31.2972,571.1,580.04,153.7469,64.3127,72.1362,85.885,159.223,27.5043,93.5808,49.4808,,30.036,36.5196,55.5314,139.6756,43.6213,73.149,88.1293,34.9432,57.7861,42.8042,128.5002,35.614,50.9377,29.0457,37.5041,87.392,62.6499,36.7999,18.2364,37.8113,83.1687,78.9866,25.5351,70.5579,69.0565,,68.8991,83.7437,36.5231,102.2693,36.0333,141.7225,28.3904,51.5002,43.6201,76.5415,90.0691,89.2909,38.6615,102.0101,40.3584,66.1475,45.5565,68.1787,86.5645
2014-07-11,87.9832,47.2125,37.6579,72.7037,211.1815,49.9577,53.5524,346.2,113.9269,14.3747,322.22,34.6862,1214.92,284.6666,43.306,128.63,44.7582,95.3147,89.19,162.27,62.8154,25.1557,77.0443,74.2126,104.7843,22.0814,70.1286,107.0472,57.7685,80.9437,59.4522,,57.9564,28.6808,13.6506,66.34,145.2659,32.871,33.9663,107.7496,22.9971,80.7149,31.463,579.18,586.65,155.0452,63.9789,72.327,86.4498,159.4775,27.4955,92.9617,49.6945,,29.9939,36.269,55.8067,141.5565,43.8431,73.4979,87.9453,35.3387,58.0775,43.0281,128.8753,36.012,50.816,28.7981,37.8685,87.0227,62.8514,36.7002,18.2796,37.6332,83.2267,78.7675,25.5947,70.1689,69.4713,,68.188,84.5256,36.4073,101.6489,35.9445,142.3712,28.4382,51.5603,43.8828,77.2782,90.6659,89.6758,38.7332,102.5673,40.9112,66.2677,45.2751,67.9664,85.864
